Station ID,Station Name,Latitude,Longitude
site_124,R K Puram,28.5632,77.1869
site_1420,Ashok Vihar,28.6954,77.1817
site_1421,Dr. Karni Singh Shooting Range,28.4986,77.2648
site_1422,Dwarka-Sector 8,28.571,77.0719
site_1425,Major Dhyan Chand National Stadium,28.6113,77.2377
site_1426,Narela,28.8228,77.102
site_1428,Okhla Phase-2,28.5308,77.2713
site_1429,Nehru Nagar,28.5679,77.2505
site_1430,Rohini,28.7325,77.1199
site_1431,Patparganj,28.6237,77.2872
site_1432,Sonia Vihar,28.7105,77.2494
site_1435,Vivek Vihar,28.6723,77.3152
site_1560,Bawana,28.726,77.08
site_1561,Mundka,28.6823,77.0349
site_1562,Sri Aurobindo Marg,28.5313,77.1901
