Pollutant,Horizon_h,Train_Samples,Validation_Samples,Test_Samples,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2
PM2.5,1,375616,127894,127588,14.41989409619877,26.898449265690616,0.9362246723815127,14.510460705329642,25.930640848736335,0.9329530401141887
PM2.5,6,375621,127894,127513,31.97375121281606,55.07020905623553,0.7328264871415282,29.51568773134178,49.474521954146155,0.7558257242020036
PM2.5,12,375626,127897,127423,37.40573557346231,63.80977669458945,0.641248981918233,34.06858457102862,55.774853245041015,0.6898251477934656
PM2.5,24,375643,127898,127243,38.359219774468926,63.89580301613191,0.6401062882186,35.63715505511661,56.63477230868995,0.6802695235745223
PM2.5,48,375668,127900,126884,43.749333885745635,72.01187143261227,0.5428349976416189,40.04582078099387,63.01238914132955,0.6040450252010761
PM2.5,72,375774,127901,126525,45.561678435361706,73.44808413386117,0.5271299500438629,41.550691238139,65.38209130430626,0.5699672854080662
PM10,1,375022,127869,127234,29.50061087154915,49.554880473384884,0.8907507610614103,28.07283077226698,47.33535752301988,0.8872639707657112
PM10,6,375027,127868,127160,60.71859090692504,91.02107490881312,0.6316019545565612,54.63596147135442,80.39404214671201,0.6747514485588331
PM10,12,375041,127869,127070,67.6138320693258,99.58172607705276,0.559025582855017,61.24959643186757,88.70318113147003,0.6042957184750544
PM10,24,375069,127870,126890,68.41549764623085,100.18608515061814,0.5532703243648786,63.58403456646315,90.53697012997215,0.5881587242130429
PM10,48,375108,127871,126531,76.4666167443573,109.8050260450416,0.4631723026861222,72.79531120592148,101.92348792972447,0.47849770753886345
PM10,72,375215,127870,126174,81.06386611177545,114.63053703682829,0.4172030137076862,75.54364045306322,106.06644267656068,0.4322182699755609
NO2,1,365380,125999,125851,6.47098907900092,10.782462205315541,0.8732561970458163,5.916184545947695,9.338611678619673,0.9058174819507823
NO2,6,365383,126000,125787,12.912991383352736,19.25257007613753,0.5958358499321197,11.888484318387965,17.130395962789073,0.6832235771017457
NO2,12,365393,126002,125697,14.415167960793234,20.751123583503034,0.5303259987001258,13.045895513133456,18.36231795346534,0.6362424281189782
